Time - Measured Velocity,Spool Rev/Sec - Measured Velocity,Time - Measured Diameter,Diameter (mm) - Measured Diameter,Time - Target Velocity,Spool Rev/Sec - Target Velocity,Time - Predicted Diameter,Diameter (mm) - Predicted Diameter,Time - Temperature,Diameter (mm) - Temperature,Time - Stage Direction,Spool Rev/Sec - Stage Direction
6254,1,6254,0.3686,6254,1,6254,0.317624,6254,94.928,6254,0
6255,1.03333,6255,0.3686,6255,1,6255,0.317624,6255,94.928,6255,0
6256,1.06667,6256,0.3686,6256,1,6256,0.317624,6256,94.928,6256,0
6257,1.06667,6257,0.327588,6257,1,6257,0.317624,6257,94.928,6257,0
6258,1.1,6258,0.327588,6258,1,6258,0.317624,6258,94.928,6258,0
6259,1.1,6259,0.327588,6259,1,6259,0.317624,6259,94.928,6259,0
6260,1.06667,6260,0.313918,6260,1,6260,0.317624,6260,94.928,6260,0
6261,1.06667,6261,0.313918,6261,1,6261,0.317624,6261,94.928,6261,0
6262,1.03333,6262,0.313918,6262,1,6262,0.317624,6262,94.928,6262,0
6263,1,6263,0.313918,6263,1,6263,0.317624,6263,94.928,6263,0
6264,0.933333,6264,0.313918,6264,1,6264,0.317624,6264,94.928,6264,0
6265,0.9,6265,0.313918,6265,1,6265,0.317624,6265,94.928,6265,0
6266,0.866667,6266,0.313918,6266,1,6266,0.317624,6266,94.928,6266,0
6267,0.933333,6267,0.313918,6267,1,6267,0.317624,6267,94.928,6267,0
6268,0.966667,6268,0.313918,6268,1,6268,0.317624,6268,94.928,6268,0
6269,1.03333,6269,0.313918,6269,1,6269,0.317624,6269,94.928,6269,0
6270,1.03333,6270,0.313918,6270,1,6270,0.317624,6270,94.928,6270,0
6271,1.03333,6271,0.313918,6271,1,6271,0.317624,6271,94.928,6271,0
6272,1,6272,0.313918,6272,1,6272,0.317624,6272,94.928,6272,0
6273,1,6273,0.313918,6273,1,6273,0.317624,6273,94.928,6273,0
6274,1.03333,6274,0.313918,6274,1,6274,0.317624,6274,94.928,6274,0
6275,1.03333,6275,0.300248,6275,1,6275,0.317624,6275,94.928,6275,0
6276,1.03333,6276,0.313918,6276,1,6276,0.317624,6276,94.4892,6276,0
6277,1.06667,6277,0.313918,6277,1,6277,0.317624,6277,94.4892,6277,0
6278,1.06667,6278,0.313918,6278,1,6278,0.317624,6278,94.4892,6278,0
6279,1.06667,6279,0.313918,6279,1,6279,0.317624,6279,94.4892,6279,0
6280,1.06667,6280,0.354929,6280,1,6280,0.317624,6280,94.4892,6280,0
6281,1.03333,6281,0.395941,6281,1,6281,0.317624,6281,94.928,6281,0
6282,1,6282,0.395941,6282,1,6282,0.317624,6282,94.928,6282,0
6283,0.966667,6283,0.395941,6283,1,6283,0.317624,6283,94.928,6283,0
6284,0.933333,6284,0.395941,6284,1,6284,0.317624,6284,94.928,6284,0
6285,0.933333,6285,0.395941,6285,1,6285,0.317624,6285,94.928,6285,0
6286,0.966667,6286,0.395941,6286,1,6286,0.317624,6286,94.928,6286,0
6287,1,6287,0.395941,6287,1,6287,0.317624,6287,94.928,6287,0
